name,city,state,original_url,email,redesign_url,notes,ui_issues,email_status
RedEye 420 Medical Dispensary,Tulsa,OK,https://www.redeye420.com/,info@redeye420.com,https://tpillay-endless.github.io/dispensary-redesigns/sites/redeye-420/,"Basic black-on-white layout, dated visual style, focus on promotional banners","no mobile responsiveness, outdated design, no hours on homepage, no online ordering, low-effort imagery",found
Okie OG Cannabis,Tulsa,OK,https://okieogcannabis.com,okieogcannabis@gmail.com,https://tpillay-endless.github.io/dispensary-redesigns/sites/okie-og/,"Generic green/white template, has age gate, weedmaps shop integration","no hours visible, generic template, dated look, low CTA contrast",found
Smokane,Spokane,WA,https://www.smokane502.com/,customerservice@smokane502.com,https://tpillay-endless.github.io/dispensary-redesigns/sites/smokane/,"Visible typos (Concertrates), cut-off product copy mid-sentence, weak imagery","typos, broken copy, inconsistent layout, minimal product info",found
Earth's Healing,Tucson,AZ,https://earthshealing.org/,no_email_found,https://tpillay-endless.github.io/dispensary-redesigns/sites/earths-healing/,"Broken Instagram feed, SVG placeholder images failing to load — contact via form on site","broken Instagram integration, lazy-load failures, no email contact, dated layout",no_email_found
Nature Med Dispensaries,Tucson,AZ,https://naturemedaz.com/,info@naturemedaz.com,https://tpillay-endless.github.io/dispensary-redesigns/sites/nature-med/,"Age gate before content, duplicate navigation, no hours on homepage","age gate friction, duplicate nav, no hours visible, generic icons",found
Keeper of the Green,Helena,MT,https://keeperog.com/,keeper@keeperog.com,https://tpillay-endless.github.io/dispensary-redesigns/sites/keeper-of-the-green/,"Forest-themed but no phone/email visible, basic template feel","no phone visible, no email visible, dated template, limited CTAs",found
Iowa Cannabis Company,Waterloo,IA,https://iacanna.com/,no_email_found,https://tpillay-endless.github.io/dispensary-redesigns/sites/iowa-cannabis/,"Three-location medical-only dispensary, duplicate nav, sparse content — contact via form on site","duplicate navigation, limited CTAs, no product pricing, dated layout",no_email_found
Pho King Great Cannabis,Bangor,ME,https://phokingweed.com/,info@phokingweed.com,https://tpillay-endless.github.io/dispensary-redesigns/sites/pho-king/,"Site contains irrelevant spam paragraphs about online casinos and location tracking, redundant nav","spam content polluting homepage, code bloat, duplicate nav, low-effort design",found
Sticky Icky's,Pueblo,CO,https://sticky-ickys.com/,stickyrec@gmail.com,https://tpillay-endless.github.io/dispensary-redesigns/sites/sticky-ickys/,"WordPress template, broken carousel images (SVG placeholders), tangential content","broken carousel, placeholder images, generic WP template, mixed content quality",found
Kush House,Oklahoma City,OK,https://classenkushhouse.com/,classenkushhouse@gmail.com,https://tpillay-endless.github.io/dispensary-redesigns/sites/kush-house/,"Multi-location OKC medical dispensary, broken staff images, no email","placeholder images failing to load, no email visible, no search, low engagement visuals",found
